relative_path,filename,ext,size_bytes,modified_local,sha256,mime,category,dates_detected,excerpt
New folder/01_Legal_Memo_Ethan_Womack.txt,01_Legal_Memo_Ethan_Womack.txt,.txt,1095,2025-10-31 03:05:59,beaf5d93dd69d4505113aff8bf441d5294f1620ed4e5f2b01f9399303c3d3030,text/plain,Security & Address Concerns,[],"URGENT LEGAL MEMO: DATA REDIRECTION AND CRIMINAL RISK NOTICE

To Whom It May Concern,

This memo documents a series of formal warnings and direct communications provided by Ethan Womack (employee) to Amazon representatives regarding the improper routing of employment and benefits-related correspondence to a legally compromised address associated with a criminal estate trust.

Key Facts:
- The address on file is tied to individuals actively engaged in inheritance fraud, identity theft, and federal-level financial crimes exceeding $500,000.
- The employee provided written requests to redirect all correspondence to a verified secure mailing address.
- Slack messages, screenshots, and timestamped documentation exist proving Amazon’s internal failure to act promptly.
- Continued exposure puts Amazon at risk of becoming complicit in criminal conspiracy under data protection, identity theft, and privacy violation statutes.

Requested Action:
Immediate override of internal systems to guarantee all employee documentation is sent to the correct mailing address provided by the employee."
New folder/01_Whistleblower_Protection_Request_Florida.txt,01_Whistleblower_Protection_Request_Florida.txt,.txt,1131,2025-10-31 03:05:59,f6f953e8193e88f8f1e91a56e9d20ddb41647b87fd32708daa13298d56b189f6,text/plain,Security & Address Concerns,[],"FLORIDA STATE WHISTLEBLOWER PROTECTION REQUEST

To: Florida Commission on Human Relations / Office of the Inspector General  
From: Ethan Womack  
Date: July 22, 2025

Subject: Request for Whistleblower Protection under Florida Statutes Chapter 112.3187

Dear Officials,

I, Ethan Womack, am requesting formal whistleblower protection under Florida law. I am an employee of Amazon working within the state and have reported the following:

1. That Amazon has continued to send sensitive personal and employment-related correspondence to an address tied to an ongoing federal-level criminal inheritance fraud operation involving my family.
2. That I have repeatedly notified internal Amazon staff of this situation, yet no meaningful action was taken until escalation occurred through Slack and public documentation.
3. That failure to act on this information places me at continued risk and may expose Amazon to criminal liability.

I request that this be formally investigated and that I be granted protection from retaliation or termination related to my disclosures.

Sincerely,  
Ethan Womack  
Contact: [INSERT PHONE / EMAIL]"
New folder/02_Evidence_Timeline_Summary.txt,02_Evidence_Timeline_Summary.txt,.txt,566,2025-10-31 03:05:59,01beb369222688c2339005d6f05691ca87bec1a865002d64eb838f7f6d9d3a11,text/plain,Security & Address Concerns,[],"TIMELINE OF EVENTS

- July 19, 2025: Ethan Womack notifies Amazon representative Tori about the compromised address issue.
- July 21, 2025: Issue is raised again in Slack with Jon; escalation is deflected.
- July 22, 2025: Employee reiterates risk and receives delayed acknowledgment from Tori, who admits the ticket system was always available.

Summary:
The employee attempted to solve the issue through internal processes. Both representatives failed to act on warnings until public pressure was applied. Screenshots confirm systemic disregard for risk warnings."
New folder/02_Whistleblower_Protection_Request_Federal.txt,02_Whistleblower_Protection_Request_Federal.txt,.txt,1177,2025-10-31 03:05:59,b9cff877de3309bb73559f4e2c2c79d7e06c5ded84ea24d1b652eedc02ff7f21,text/plain,Security & Address Concerns,[],"FEDERAL WHISTLEBLOWER PROTECTION REQUEST

To: U.S. Office of Special Counsel / U.S. Department of Justice / Department of Labor – Whistleblower Protection Program  
From: Ethan Womack  
Date: July 22, 2025

Subject: Request for Whistleblower Protection under the Whistleblower Protection Act of 1989

Dear Officials,

I am submitting this formal request for whistleblower protection concerning a matter involving potential corporate negligence and criminal exposure by Amazon. I am an employee who has:

1. Reported to internal Amazon channels that my employment-related documents were being routed to an address compromised by a known estate fraud scheme tied to my family, already responsible for criminal acts involving nearly $500,000 in assets.
2. Provided clear written notice of the danger, only to have my warnings initially ignored or deferred until forced escalation.
3. Collected evidence of systemic failure that may expose both myself and the company to legal, financial, and safety risks.

I am requesting protection from retaliation and a formal investigation into Amazon's handling of this matter.

Sincerely,  
Ethan Womack  
Contact: [INSERT PHONE / EMAIL]"
New folder/03_Compliance_Risk_Overview.txt,03_Compliance_Risk_Overview.txt,.txt,468,2025-10-31 03:05:59,c56455e3afb66982d54334f9bf04dabf1dea56b27e6e57820ec8ac24fcd0c310,text/plain,Security & Address Concerns,[],"AMAZON COMPLIANCE RISK OVERVIEW

Possible Violations:
- Gross Negligence
- Federal Privacy Violations (FCRA, HIPAA, CCPA)
- Enabling Identity Theft (via known compromised delivery address)
- Accessory to Criminal Fraud (via continued mail routing despite warnings)

Recommendations:
- Lock employee’s corrected mailing address at all system levels.
- Engage Amazon Legal immediately.
- Launch internal audit into employee data routing policies and system overrides."
New folder/03_Whistleblower_Submission_Instructions.txt,03_Whistleblower_Submission_Instructions.txt,.txt,738,2025-10-31 03:05:59,b3f64039144c4909cd121f7791956bc46218ed6ea63eafbeb1255a17b95afcc0,text/plain,Security & Address Concerns,[],"INSTRUCTIONS FOR SUBMISSION

1. FLORIDA STATE AGENCIES:
   - Florida Commission on Human Relations (https://fchr.myflorida.com)
   - Office of the Chief Inspector General: https://www.flgov.com/inspector_general
   - Email or submit via official contact portals; include your phone and email address.

2. FEDERAL AGENCIES:
   - U.S. Office of Special Counsel: https://osc.gov
   - U.S. Department of Labor – OSHA Whistleblower Protection: https://www.whistleblowers.gov
   - U.S. Department of Justice Criminal Division: https://www.justice.gov/criminal-division

3. Send all files as PDF or .txt format, using certified email or submission portals.

4. Maintain a digital backup of all submitted files and track confirmation receipts."
New folder/04_Statement_for_Omniversal_Legal.txt,04_Statement_for_Omniversal_Legal.txt,.txt,556,2025-10-31 03:05:59,4940b33bf11b173665dbac481b7fb2f5c62dbb0ddc218f700929866859ed9301,text/plain,Security & Address Concerns,[],"STATEMENT FOR OMNIVERSAL LEGAL

I, Ethan Womack, declare the following:

My family is engaged in an ongoing criminal scheme involving inheritance fraud and identity theft. The address Amazon currently has on file routes sensitive documents into their hands, putting me at legal and financial risk. Amazon has been informed of this in writing multiple times and has failed to correct it promptly.

This document and the attached packet represent my good-faith effort to protect my identity, safety, and Amazon’s liability.

— Ethan Womack
July 22, 2025"
New folder/DragonHawk_Playbook.html,DragonHawk_Playbook.html,.html,284316,2025-10-31 03:05:59,011f2bccd8ea481c5ba6977562702d7438fc2786dcafe0ff049b442f652d19f0,text/html,Security & Address Concerns,['2025-07-2'],"<!DOCTYPE html>

<html lang=""en"">
<head><meta charset=""utf-8""/>
<meta content=""width=device-width, initial-scale=1.0"" name=""viewport""/>
<title>DragonHawk_Playbook</title><script src=""https://cdnjs.cloudflare.com/ajax/libs/require.js/2.1.10/require.min.js""></script>
<style type=""text/css"">
    pre { line-height: 125%; }
td.linenos .normal { color: inherit; background-color: transparent; padding-left: 5px; padding-right: 5px; }
span.linenos { color: inherit; background-color: transparent; padding-left: 5px; padding-right: 5px; }
td.linenos .special { color: #000000; background-color: #ffffc0; padding-left: 5px; padding-right: 5px; }
span.linenos.special { color: #000000; background-color: #ffffc0; padding-left: 5px; padding-right: 5px; }
.highlight .hll { background-color: var(--jp-cell-editor-active-background) }
.highlight { background: var(--jp-cell-editor-background); color: var(--jp-mirror-editor-variable-color) }
.highlight .c { color: var(--jp-mirror-editor-comment-color); font-style: italic } /* Comment */
.highlight .err { color: var(--jp-mirror-editor-error-color) } /* Error */
.highlight .k { color: var(--jp-mirror-editor-keyword-color); font-weight: bold } /* Keyword */
.…"
New folder/OSHA_HR_WHS_Annotated_Transcript.txt,OSHA_HR_WHS_Annotated_Transcript.txt,.txt,22007,2025-10-31 03:06:00,893f245228cc970da525df9f90b078bdd7d6906bb6f423125d5fe71868b7d378,text/plain,Security & Address Concerns,[],"Omniversal Media LLC – Legal Documentation

🗂️ Title: OSHA HR WHS Intimidation Meeting Transcript  
📍 Location: TPA4 – Temple Terrace, FL  
📅 Date of Recording: August 1, 2025  
📎 Transcription Source: TurboScribe.ai

---

ANNOTATED TRANSCRIPT

(Transcribed by TurboScribe.ai. Go Unlimited to remove this message.)

(0:39 - 0:59)
Hi, it's Justin. I'm on the safety team. Ethan, nice to meet you. 

I think you know Anthony. We just wanted to talk to you. I know you had some concerns about the PPE and things along that line, so we just wanted to all get together and talk to you and see how we could help.

(1:05 - 1:31)
Um, are you asking what my concerns were? Yeah, we just wanted to talk through your concerns and like see how we could help address them. Um, the whole process for me, I don't know if you've ever gone through the whole OSHA 10-hour course and training and all that. Um, the whole process seems off to me.  ← ⚠️ OSHA Compliance Mentioned

(1:31 - 1:57)
Okay. Um, normally when you come to work somewhere, especially if you're going to work on three-phase stuff, the employer provides the PPE, issues it, and I just don't have enough mental space to jump through hoops and click t…"
New folder/RME Change Management Project Proposal.docx,RME Change Management Project Proposal.docx,.docx,140709,2025-10-31 03:06:00,5a178fed080ef9073362aa3b5021a968e23e29a968ffdef50a54ef05f937fd1a,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Systemic Reform Proposal,[],(Document preview not extracted — open file for contents.)
New folder/RME Change Management Project Proposal.docx - Shortcut.lnk,RME Change Management Project Proposal.docx - Shortcut.lnk,.lnk,1541,2025-10-31 03:06:00,2e912b71511f3e56469db5844b9453d233adaa7a308c4f0025d7d9864fe4abe8,application/octet-stream,Systemic Reform Proposal,[],
New folder/ARSAW PLC & HMI Backup Procedure.pdf (2).lnk,ARSAW PLC & HMI Backup Procedure.pdf (2).lnk,.lnk,588,2025-10-31 03:05:59,ca1a554427e6408a318ca791ed521ed61997b2afcaf02031d3c0cb5f000f9c68,application/octet-stream,Training & Compliance Records,[],
New folder/ARSAW PLC & HMI Backup Procedure.pdf (3).lnk,ARSAW PLC & HMI Backup Procedure.pdf (3).lnk,.lnk,588,2025-10-31 03:05:59,ca1a554427e6408a318ca791ed521ed61997b2afcaf02031d3c0cb5f000f9c68,application/octet-stream,Training & Compliance Records,[],
New folder/ARSAW PLC & HMI Backup Procedure.pdf (4).lnk,ARSAW PLC & HMI Backup Procedure.pdf (4).lnk,.lnk,534,2025-10-31 03:05:59,218dbfeead9f972182c7b7859740ba9513d8e8b99d5dbc8a1db28a38ac42ab23,application/octet-stream,Training & Compliance Records,[],
New folder/ARSAW PLC & HMI Backup Procedure.pdf.lnk,ARSAW PLC & HMI Backup Procedure.pdf.lnk,.lnk,534,2025-10-31 03:05:59,218dbfeead9f972182c7b7859740ba9513d8e8b99d5dbc8a1db28a38ac42ab23,application/octet-stream,Training & Compliance Records,[],
New folder/Dematic+ARSAW-ARSTOW+Procedure (2).docx.lnk,Dematic+ARSAW-ARSTOW+Procedure (2).docx.lnk,.lnk,590,2025-10-31 03:05:59,dd47564a1e4a94f617a0452571728fcc9651adc860b79b4f79be8410a4bbbada,application/octet-stream,Training & Compliance Records,[],
New folder/Dematic+ARSAW-ARSTOW+Procedure (3).docx.lnk,Dematic+ARSAW-ARSTOW+Procedure (3).docx.lnk,.lnk,590,2025-10-31 03:05:59,dd47564a1e4a94f617a0452571728fcc9651adc860b79b4f79be8410a4bbbada,application/octet-stream,Training & Compliance Records,[],
New folder/LOTO-NOT-required_ERWOMACK.png,LOTO-NOT-required_ERWOMACK.png,.png,428682,2025-10-31 03:05:59,9db9b2083c6b63d9839cf4d6190a576e4af099eacd5803b7a63c22e21dec1f3c,image/png,Training & Compliance Records,[],
New folder/LOTO-NOT-required_ERWOMACK.png - Shortcut.lnk,LOTO-NOT-required_ERWOMACK.png - Shortcut.lnk,.lnk,1482,2025-10-31 03:05:59,a0dda0caf57b8ac7d4644440a1d4c99fb50aa20a013b185d18aa9a1a8bc14b6d,application/octet-stream,Training & Compliance Records,[],
New folder/NO-LOTO-REQUIRED.pdf,NO-LOTO-REQUIRED.pdf,.pdf,1075504,2025-10-31 03:06:00,0efe1a7a03e1e269fc0a4a16c3f42dc7833edd794c527bbc5a2f3b7e65d18154,application/pdf,Training & Compliance Records,[],(Document preview not extracted — open file for contents.)
New folder/NO-LOTO-REQUIRED.pdf - Shortcut.lnk,NO-LOTO-REQUIRED.pdf - Shortcut.lnk,.lnk,1245,2025-10-31 03:06:00,de9c9378e710850bfb0cd7913fe66aa8d928c1302a2587ab73d2e789b5f2a8d1,application/octet-stream,Training & Compliance Records,[],
New folder/New folder/MbA RME LOTO Addendum v2.1.docx,MbA RME LOTO Addendum v2.1.docx,.docx,519995,2025-10-31 03:06:00,dfe4182e6bb2206e9fa695ce117ea4d2a194d88e90e029d6be979c6f628f2e60,application/vnd.openxmlformats-officedocument.wordprocessingml.document,Training & Compliance Records,[],(Document preview not extracted — open file for contents.)
New folder/New folder/Process Map Visual (PMV)-ARSAW Jam Clearing  (1).pptx,Process Map Visual (PMV)-ARSAW Jam Clearing  (1).pptx,.pptx,5760007,2025-10-31 03:06:00,0100b982279e707fa6c3f59d48b29ee5836797c5118598891ce922267172483d,application/vnd.openxmlformats-officedocument.presentationml.presentation,Training & Compliance Records,[],(Document preview not extracted — open file for contents.)
New folder/New folder/Process Map Visual (PMV)-ARSAW Jam Clearing .pptx,Process Map Visual (PMV)-ARSAW Jam Clearing .pptx,.pptx,5760007,2025-10-31 03:06:00,0100b982279e707fa6c3f59d48b29ee5836797c5118598891ce922267172483d,application/vnd.openxmlformats-officedocument.presentationml.presentation,Training & Compliance Records,[],(Document preview not extracted — open file for contents.)
New folder/New folder/Rme Case Study Training Slides.pdf,Rme Case Study Training Slides.pdf,.pdf,30802,2025-10-31 03:06:00,4c196c0abd3cf51f4107d5707acc346af67c130ed60d062f3750d7d7dd0475b1,application/pdf,Training & Compliance Records,[],(Document preview not extracted — open file for contents.)
New folder/New folder/pmo_rme_manifest/README.md,README.md,.md,566,2025-10-31 03:06:00,93faba3ec844858fd4849997c1df87cb42570dfc148899025608df47ba79038a,text/markdown,Training & Compliance Records,[],"# PMO + REME Credential Manifest

This local repository documents the certification path and training roadmap for Ethan Womack, aligning with PMO and RME leadership development goals inside Amazon.

Branch: PMO

This branch includes:
- Training record logs
- Credential manifests
- PDF copies of role model certifications (Nobel, Livia - Morris, Marta - ETC)

Completed:
- obsidian_whistle_007.md: Initial PMO credential manifest

Next:
- Continue course completions as listed in the printed roadmap
- Log future milestones and completions
- Update README as needed"
New folder/New folder/pmo_rme_manifest/docs/README.md,README.md,.md,566,2025-10-31 03:06:00,93faba3ec844858fd4849997c1df87cb42570dfc148899025608df47ba79038a,text/markdown,Training & Compliance Records,[],"# PMO + REME Credential Manifest

This local repository documents the certification path and training roadmap for Ethan Womack, aligning with PMO and RME leadership development goals inside Amazon.

Branch: PMO

This branch includes:
- Training record logs
- Credential manifests
- PDF copies of role model certifications (Nobel, Livia - Morris, Marta - ETC)

Completed:
- obsidian_whistle_007.md: Initial PMO credential manifest

Next:
- Continue course completions as listed in the printed roadmap
- Log future milestones and completions
- Update README as needed"
New folder/New folder/pmo_rme_manifest/docs/training/obsidian_whistle_007.md,obsidian_whistle_007.md,.md,793,2025-10-31 03:06:00,7014136d693e06978d48c937677677af7fc31273994e5c70ed6ec9bc8f4fe486,text/markdown,Training & Compliance Records,['07-24-2025'],"# Operational Credential Dominance Manifest
**Codename:** Obsidian Whistle 007
**Agent:** Hawk Eye
**Date:** 07-24-2025

## Internal Amazon Training Goals
- Change Requester Training 3.0
- Coupa Procurement & Approvals
- ECM Process Training
- OpsTech IT Fundamentals
- APM Module Series 1-4
- RME Technician Safety/Compliance
- Ops Leadership Development
- Security Awareness & Incident Reporting

## External Certifications
- PMP (Project Management Professional)
- AWS DevOps Engineer - Pro
- Lean Six Sigma - Green or Black Belt
- CMBoK Certification
- Amazon Leadership Principles

## Repositories & Deployment Tactics
- Create Git training manifest (this file)
- Monitor Coupa role permissions
- Identify shadow agents via badge protocol

**#training_map #PMO #RME #certification_path**"
New folder/New folder/pmo_rme_manifest/obsidian_whistle_007.md,obsidian_whistle_007.md,.md,793,2025-10-31 03:06:00,7014136d693e06978d48c937677677af7fc31273994e5c70ed6ec9bc8f4fe486,text/markdown,Training & Compliance Records,['07-24-2025'],"# Operational Credential Dominance Manifest
**Codename:** Obsidian Whistle 007
**Agent:** Hawk Eye
**Date:** 07-24-2025

## Internal Amazon Training Goals
- Change Requester Training 3.0
- Coupa Procurement & Approvals
- ECM Process Training
- OpsTech IT Fundamentals
- APM Module Series 1-4
- RME Technician Safety/Compliance
- Ops Leadership Development
- Security Awareness & Incident Reporting

## External Certifications
- PMP (Project Management Professional)
- AWS DevOps Engineer - Pro
- Lean Six Sigma - Green or Black Belt
- CMBoK Certification
- Amazon Leadership Principles

## Repositories & Deployment Tactics
- Create Git training manifest (this file)
- Monitor Coupa role permissions
- Identify shadow agents via badge protocol

**#training_map #PMO #RME #certification_path**"
New folder/002TheSentinelFramework.docx (2).lnk,002TheSentinelFramework.docx (2).lnk,.lnk,444,2025-10-31 03:05:59,a808162974d0a3c4bb74c9d2e83191c05b07fde4f75732d9b9ebf2f015e7cfaf,application/octet-stream,Uncategorized,[],
New folder/002TheSentinelFramework.docx.lnk,002TheSentinelFramework.docx.lnk,.lnk,444,2025-10-31 03:05:59,a808162974d0a3c4bb74c9d2e83191c05b07fde4f75732d9b9ebf2f015e7cfaf,application/octet-stream,Uncategorized,[],
New folder/002TheSentinelFramework.pdf (2).lnk,002TheSentinelFramework.pdf (2).lnk,.lnk,514,2025-10-31 03:05:59,63cf9e7361190aa470c11ab40734af8cba98424d8f64a5e6831b76eae950b274,application/octet-stream,Uncategorized,[],
New folder/002TheSentinelFramework.pdf.lnk,002TheSentinelFramework.pdf.lnk,.lnk,514,2025-10-31 03:05:59,63cf9e7361190aa470c11ab40734af8cba98424d8f64a5e6831b76eae950b274,application/octet-stream,Uncategorized,[],
New folder/01_Amazon_On_Notice_Letter.txt - Shortcut.lnk,01_Amazon_On_Notice_Letter.txt - Shortcut.lnk,.lnk,1319,2025-10-31 03:05:59,6901526644cc4e5171fe7c70763b6e1592ba61c312dd4d4e8de5e7d0f5bc64f2,application/octet-stream,Uncategorized,[],
New folder/01_Legal_Memo_Ethan_Womack.txt - Shortcut.lnk,01_Legal_Memo_Ethan_Womack.txt - Shortcut.lnk,.lnk,1319,2025-10-31 03:05:59,f3a7573af520b4769084a44c34d42dee754044c4a6a701e75e1492c234fe040e,application/octet-stream,Uncategorized,[],
New folder/01_Whistleblower_Protection_Request_Florida.txt - Shortcut.lnk,01_Whistleblower_Protection_Request_Florida.txt - Shortcut.lnk,.lnk,1472,2025-10-31 03:05:59,4e9fbff6dfb4bd599b258161b31caf9c26779274f56ecdec14bb400f259ce120,application/octet-stream,Uncategorized,[],
New folder/02_Evidence_Timeline_Summary.txt - Shortcut.lnk,02_Evidence_Timeline_Summary.txt - Shortcut.lnk,.lnk,1337,2025-10-31 03:05:59,5c1f13d732112f5efaa3b108b7d78d37105e4757f4fccf9d5386257312358fdd,application/octet-stream,Uncategorized,[],
New folder/02_OSHA_Complaint_Draft.txt - Shortcut.lnk,02_OSHA_Complaint_Draft.txt - Shortcut.lnk,.lnk,1292,2025-10-31 03:05:59,4b3622deb62775b5b0f22d49cd17e66dd1f40ce5a929114deac57f0f80998f74,application/octet-stream,Uncategorized,[],
New folder/02_Whistleblower_Protection_Request_Federal.txt - Shortcut.lnk,02_Whistleblower_Protection_Request_Federal.txt - Shortcut.lnk,.lnk,1472,2025-10-31 03:05:59,6d41d6ddaf5eec60eda0ef8f266936355154d3d6bc3fdbf1f54901607c316a28,application/octet-stream,Uncategorized,[],
New folder/03_Compliance_Risk_Overview.txt - Shortcut.lnk,03_Compliance_Risk_Overview.txt - Shortcut.lnk,.lnk,1328,2025-10-31 03:05:59,4e8504bbecc418d54062726ec4873de4531b6476d3e4adb3f6649bfd44af85a7,application/octet-stream,Uncategorized,[],
New folder/03_Whistleblower_Protection_Request.txt - Shortcut.lnk,03_Whistleblower_Protection_Request.txt - Shortcut.lnk,.lnk,1400,2025-10-31 03:05:59,2eab52283927f8e90c7024f691a3c07dc52f5b7648729165d08ad0ad1e123074,application/octet-stream,Uncategorized,[],
New folder/03_Whistleblower_Submission_Instructions.txt - Shortcut.lnk,03_Whistleblower_Submission_Instructions.txt - Shortcut.lnk,.lnk,1445,2025-10-31 03:05:59,211e11a0a7969b02d4fc45eeb3ff74daaadbca7ab68a1dd9fc3fba417fd77f37,application/octet-stream,Uncategorized,[],
New folder/04_Response_to_Luke.txt - Shortcut.lnk,04_Response_to_Luke.txt - Shortcut.lnk,.lnk,1256,2025-10-31 03:05:59,b5a20d1a219f41c88d256bb1ce9cb8133babd9a9fabaac753cecd975b9213ca2,application/octet-stream,Uncategorized,[],
